year,st_case,month,day,day_week,hour,minute,latitude,longitude,fatals,persons,ve_total,peds,route,routename,tway_id,tway_id2,milept,city,cityname,rur_urb,rur_urbname,func_sys,func_sysname,harm_ev,harm_evname,man_coll,man_collname,reljct2,reljct2name,typ_int,lgt_cond,lgt_condname,weather,weathername,drunk_dr,on_361_tway,in_box
2022,483007,10,9,1,22,31,27.66866389,-97.282525000,1,2,2,0,7,Local Street - Frontage Road,SR-358 S PADRE ISLAND DR,WALDRON RD,12,1550,CORPUS CHRISTI,2,Urban,5,Major Collector,12,Motor Vehicle In-Transport,2,Front-to-Front,3,Intersection-Related,2,3,Dark - Lighted,1,Clear,,False,True
2023,481869,7,3,2,20,30,27.71836667,-97.145875000,1,8,3,0,3,State Highway,SR-361,,189,1550,CORPUS CHRISTI,1,Rural,4,Minor Arterial,12,Motor Vehicle In-Transport,2,Front-to-Front,8,Driveway Access Related,1,3,Dark - Lighted,1,Clear,,True,True
2023,481885,6,30,6,20,56,27.74759722,-97.126247220,1,4,2,0,3,State Highway,SR-361,,166,1550,CORPUS CHRISTI,1,Rural,4,Minor Arterial,12,Motor Vehicle In-Transport,2,Front-to-Front,1,Non-Junction,1,2,Dark - Not Lighted,1,Clear,,True,True
2023,481929,7,14,6,2,20,27.67165278,-97.289766670,1,1,1,0,3,State Highway,SR-358,,155,1550,CORPUS CHRISTI,2,Urban,5,Major Collector,59,Traffic Sign Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Non-Junction,1,3,Dark - Lighted,1,Clear,,False,True
2023,482316,8,7,2,2,14,27.65562778,-97.257241670,1,1,1,0,95,Other,PR 22/PADRE ISLAND DR,,31,1550,CORPUS CHRISTI,2,Urban,2,Other Freeways and Expressways,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Non-Junction,1,3,Dark - Lighted,10,Cloudy,,False,True
2023,482934,10,10,3,19,38,27.66785278,-97.282750000,1,1,1,1,6,Municipal,MU-WALDRON RD,,0,1550,CORPUS CHRISTI,2,Urban,4,Minor Arterial,15,Non-Motorist on Personal Conveyance,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,8,Driveway Access Related,1,3,Dark - Lighted,2,Rain,,False,True
2023,483309,11,2,5,7,47,27.68217778,-97.170377780,1,2,2,0,3,State Highway,SR-361,,217,1550,CORPUS CHRISTI,1,Rural,4,Minor Arterial,12,Motor Vehicle In-Transport,6,Angle,8,Driveway Access Related,1,1,Daylight,1,Clear,,True,True
2024,481443,5,14,3,18,9,27.73018333,-97.138088890,2,6,3,0,3,State Highway,SR-361,,180,1550,CORPUS CHRISTI,2,Urban,4,Minor Arterial,12,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,1,Non-Junction,1,1,Daylight,1,Clear,,True,True
2024,481576,6,9,1,2,27,27.67215278,-97.290702780,1,1,1,0,3,State Highway,SR-358/PADRE ISLAND DR FRONTAG,,155,1550,CORPUS CHRISTI,2,Urban,5,Major Collector,59,Traffic Sign Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Non-Junction,1,3,Dark - Lighted,1,Clear,,False,True
2024,482234,8,9,6,20,21,27.66339722,-97.182919440,1,12,3,0,3,State Highway,SR-361,,234,1550,CORPUS CHRISTI,2,Urban,4,Minor Arterial,12,Motor Vehicle In-Transport,6,Angle,1,Non-Junction,1,5,Dusk,1,Clear,,True,True
