Crash ID,Adj ADT,At Intersection Flag,ADT,ADT Year,City,Contributing Factors,Control Section,CS Milepoint,Crash Date,Death Count,Month,NonSusp Serious Inj,Possible Inj,Crash Severity,Susp Serious Inj,Crash Time,Total Inj,Year,Day of Week,DFO,Fatal Crash Flag,First Harmful Event,Hwy Lane Design,Hour,Intersecting Hwy Number,Intersecting Street Name,Intersection Related,Latitude,Light Condition,Located Flag,Longitude,Manner of Collision,Median Type,Entering Roads,Number of Lanes,Object Struck,On System Flag,Other Factor,Population Group,Private Drive Flag,Ref Marker,RM Offset,Road Class,Roadway Alignment,Roadway Function,Roadway Relation,Roadway Type,Rural Flag,Speed Limit,Street Name,Surface Condition,Traffic Control Type,Weather Condition
19695714,12050,False,12050,2023,OUTSIDE CITY LIMITS,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,226303,13.297,2023-08-09,0,8,1,0,B - SUSPECTED MINOR INJURY,0,1325,1,2023,WEDNESDAY,21.016,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,13:00 - 13:59,,N/A,NON INTERSECTION,27.78874183,DAYLIGHT,YES,-97.09728584,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,NO MEDIAN,NOT APPLICABLE,5,NOT APPLICABLE,True,NOT APPLICABLE,RURAL,NO,0626,-0.696,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",True,60,SH0361,DRY,MARKED LANES,CLEAR
19698730,6181,False,6181,2023,ARANSAS PASS,FAILED TO CONTROL SPEED,226302,0.588,2023-08-09,0,8,0,2,C - POSSIBLE INJURY,0,1410,2,2023,WEDNESDAY,11.025,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,14:00 - 14:59,,N/A,NON INTERSECTION,27.89519808,DAYLIGHT,YES,-97.13157012,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,NO MEDIAN,NOT APPLICABLE,2,NOT APPLICABLE,True,SLOWING/STOPPING-FOR TRAFFIC,"5,000 - 9,999 POP",NO,0614,0.6,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"2 LANE, 2 WAY",False,45,SH0361,DRY,MARKED LANES,CLEAR
19713381,10439,False,10439,2023,CORPUS CHRISTI,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,226303,22.954,2023-08-12,0,8,0,0,N - NOT INJURED,0,1841,0,2023,SATURDAY,30.673,0,FIXED OBJECT,TWO-WAY,18:00 - 18:59,,N/A,NON INTERSECTION,27.66896046,DAYLIGHT,YES,-97.17916224,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,NOT APPLICABLE,5,HIT CULVERT-HEADWALL,True,SWERVED OR VEERED - AVOIDING VEHICLE FROM OPPOSITE DIRECTION IN WRONG LANE,"250,000 POP AND OVER",NO,0634,0.99,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,OFF ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,DRY,MARKED LANES,CLEAR
19700108,15893,False,15893,2023,PORT ARANSAS,FAILED TO CONTROL SPEED,226303,11.634,2023-08-13,0,8,0,0,N - NOT INJURED,0,2244,0,2023,SUNDAY,19.353,0,FIXED OBJECT,BOULEVARD,22:00 - 22:59,,N/A,NON INTERSECTION,27.80810703,"DARK, NOT LIGHTED",YES,-97.08101764,ONE MOTOR VEHICLE - GOING STRAIGHT,CURBED,NOT APPLICABLE,4,HIT CURB,True,NOT APPLICABLE,"2,500 - 4,999 POP",NO,0624,-0.397,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,OFF ROADWAY,"4 OR MORE LANES, DIVIDED",True,55,SH0361,DRY,NONE,CLEAR
19729081,12050,False,12050,2023,CORPUS CHRISTI,UNDER INFLUENCE - ALCOHOL,226303,17.336,2023-08-25,0,8,0,0,N - NOT INJURED,0,2115,0,2023,FRIDAY,25.055,0,OTHER NON COLLISION,TWO-WAY,21:00 - 21:59,,N/A,NON INTERSECTION,27.73896207,"DARK, NOT LIGHTED",YES,-97.13205974,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,NOT APPLICABLE,5,NOT APPLICABLE,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0630,-0.677,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,OFF ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,DRY,CENTER STRIPE/DIVIDER,CLEAR
19733993,15893,False,15893,2023,PORT ARANSAS,DRIVER INATTENTION; FAILED TO CONTROL SPEED,226303,10.764,2023-09-01,0,9,0,0,N - NOT INJURED,0,1306,0,2023,FRIDAY,18.483,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,13:00 - 13:59,,N/A,DRIVEWAY ACCESS,27.81884461,DAYLIGHT,YES,-97.07370613,SAME DIRECTION - ONE STRAIGHT-ONE RIGHT TURN,NO MEDIAN,FOUR ENTERING ROADS,2,NOT APPLICABLE,True,ONE VEHICLE ENTERING DRIVEWAY,"2,500 - 4,999 POP",NO,0622,0.755,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"2 LANE, 2 WAY",True,45,SH0361,DRY,NONE,CLEAR
19735279,15893,False,15893,2023,PORT ARANSAS,DRIVER INATTENTION; TURNED WHEN UNSAFE,226303,10.75,2023-09-02,0,9,2,1,B - SUSPECTED MINOR INJURY,0,1930,3,2023,SATURDAY,18.469,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,19:00 - 19:59,,N/A,NON INTERSECTION,27.81902838,DAYLIGHT,YES,-97.07360119,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,NO MEDIAN,FOUR ENTERING ROADS,2,NOT APPLICABLE,True,ATTENTION DIVERTED FROM DRIVING,"2,500 - 4,999 POP",NO,0622,0.741,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"2 LANE, 2 WAY",True,45,SH0361,DRY,NONE,CLEAR
19743032,12050,True,12050,2023,CORPUS CHRISTI,FAILED TO DRIVE IN SINGLE LANE,226303,18.984,2023-09-05,0,9,0,1,A - SUSPECTED SERIOUS INJURY,1,1632,2,2023,TUESDAY,26.703,0,FIXED OBJECT,TWO-WAY,16:00 - 16:59,,N/A,NON INTERSECTION,27.71842439,DAYLIGHT,YES,-97.1459014,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,THREE ENTERING ROADS - T,5,HIT UTILITY POLE,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0630,0.971,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,OFF ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,DRY,STOP SIGN,CLEAR
19789134,6181,False,6181,2023,ARANSAS PASS,ROAD RAGE,226302,3.272,2023-09-23,0,9,0,0,N - NOT INJURED,0,1345,0,2023,SATURDAY,13.709,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,13:00 - 13:59,,N/A,NON INTERSECTION,27.8757248,DAYLIGHT,YES,-97.09506636,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,NO MEDIAN,NOT APPLICABLE,2,NOT APPLICABLE,True,VEHICLE CHANGING LANES,"5,000 - 9,999 POP",NO,0618,-0.67,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"2 LANE, 2 WAY",False,55,SH0361,DRY,MARKED LANES,CLEAR
19783871,14248,False,14248,2023,PORT ARANSAS,DRIVER INATTENTION; FAULTY EVASIVE ACTION,226303,10.094,2023-09-30,0,9,0,0,N - NOT INJURED,0,0830,0,2023,SATURDAY,17.813,0,FIXED OBJECT,TWO-WAY,08:00 - 08:59,,N/A,NON INTERSECTION,27.8271107,DAYLIGHT,YES,-97.06795964,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,NOT APPLICABLE,2,HIT CURB,True,"LOST CONTROL OR SKIDDED (ICY OR SLICK ROAD, ETC.)","2,500 - 4,999 POP",NO,0622,0.085,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,OFF ROADWAY,"2 LANE, 2 WAY",True,35,SH0361,WET,NONE,CLOUDY
