Crash ID,Adj ADT,At Intersection Flag,ADT,ADT Year,City,Contributing Factors,Control Section,CS Milepoint,Crash Date,Death Count,Month,NonSusp Serious Inj,Possible Inj,Crash Severity,Susp Serious Inj,Crash Time,Total Inj,Year,Day of Week,DFO,Fatal Crash Flag,First Harmful Event,Hwy Lane Design,Hour,Intersecting Hwy Number,Intersecting Street Name,Intersection Related,Latitude,Light Condition,Located Flag,Longitude,Manner of Collision,Median Type,Entering Roads,Number of Lanes,Object Struck,On System Flag,Other Factor,Population Group,Private Drive Flag,Ref Marker,RM Offset,Road Class,Roadway Alignment,Roadway Function,Roadway Relation,Roadway Type,Rural Flag,Speed Limit,Street Name,Surface Condition,Traffic Control Type,Weather Condition
16621267,10439,False,10439,2023,CORPUS CHRISTI,TURNED WHEN UNSAFE; UNDER INFLUENCE - ALCOHOL,226303,27.471,2018-08-25,0,8,0,0,N - NOT INJURED,0,1730,0,2018,SATURDAY,35.19,0,FIXED OBJECT,TWO-WAY,17:00 - 17:59,,N/A,NON INTERSECTION,27.61788326,DAYLIGHT,YES,-97.22132825,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,NOT APPLICABLE,5,HIT HIGHWAY SIGN,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0638,1.508,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,OFF ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,DRY,NONE,CLEAR
16620834,10439,False,10439,2023,CORPUS CHRISTI,FAILED TO CONTROL SPEED;OTHER (EXPLAIN IN NARRATIVE),226303,26.998,2018-09-03,0,9,0,0,N - NOT INJURED,0,1435,0,2018,MONDAY,34.717,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,14:00 - 14:59,,N/A,NON INTERSECTION,27.61920691,DAYLIGHT,YES,-97.21390573,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,NO MEDIAN,NOT APPLICABLE,5,NOT APPLICABLE,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0638,1.035,US & STATE HIGHWAYS,"CURVE, GRADE",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,65,SH0361,DRY,MARKED LANES,CLEAR
16640156,10439,False,10439,2023,CORPUS CHRISTI,FAILED TO CONTROL SPEED,226303,20.458,2018-09-13,0,9,0,1,C - POSSIBLE INJURY,0,0706,1,2018,THURSDAY,28.177,0,FIXED OBJECT,TWO-WAY,07:00 - 07:59,,N/A,NON INTERSECTION,27.700063,DAYLIGHT,YES,-97.15824205,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,NOT APPLICABLE,5,DITCH,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0632,0.494,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,OFF ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,DRY,CENTER STRIPE/DIVIDER,CLEAR
16642528,10439,False,10439,2023,CORPUS CHRISTI,FAILED TO CONTROL SPEED,226303,27.493,2018-09-14,0,9,0,0,N - NOT INJURED,0,1241,0,2018,FRIDAY,35.212,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,12:00 - 12:59,0022,PR0022,INTERSECTION RELATED,27.61788845,DAYLIGHT,YES,-97.22169414,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,NO MEDIAN,NOT APPLICABLE,5,NOT APPLICABLE,True,"SLOWING/STOPPING - FOR OFFICER, FLAGMAN, OR TRAFFIC CONTROL","250,000 POP AND OVER",NO,0638,1.53,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,55,SH0361,WET,SIGNAL LIGHT,CLOUDY
16642813,12050,True,12050,2023,CORPUS CHRISTI,DROVE WITHOUT HEADLIGHTS;FAILED TO YIELD RIGHT OF WAY - OPEN INTERSECTION;IMPAIRED VISIBILITY (EXPLAIN IN NARRATIVE),226303,15.567,2018-09-15,0,9,0,0,N - NOT INJURED,0,0848,0,2018,SATURDAY,23.286,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,08:00 - 08:59,,UNKNOWN,INTERSECTION,27.76098981,DAYLIGHT,YES,-97.11722573,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,NO MEDIAN,THREE ENTERING ROADS - T,5,NOT APPLICABLE,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0628,-0.415,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,STANDING WATER,NONE,RAIN
16686862,10439,False,10439,2023,CORPUS CHRISTI,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,226303,27.479,2018-10-03,0,10,0,0,N - NOT INJURED,0,1434,0,2018,WEDNESDAY,35.198,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,14:00 - 14:59,,N/A,DRIVEWAY ACCESS,27.61788517,DAYLIGHT,YES,-97.22146329,ANGLE - ONE STRAIGHT-ONE LEFT TURN,NO MEDIAN,NOT APPLICABLE,5,NOT APPLICABLE,True,ONE VEHICLE LEAVING DRIVEWAY,"250,000 POP AND OVER",NO,0638,1.516,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,55,SH0361,DRY,MARKED LANES,CLEAR
16727513,10439,False,10439,2023,CORPUS CHRISTI,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,226303,27.46,2018-10-27,0,10,0,0,N - NOT INJURED,0,0737,0,2018,SATURDAY,35.179,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,07:00 - 07:59,,N/A,DRIVEWAY ACCESS,27.61788081,DAWN,YES,-97.22115549,ANGLE - BOTH GOING STRAIGHT,NO MEDIAN,NOT APPLICABLE,5,NOT APPLICABLE,True,ONE VEHICLE LEAVING DRIVEWAY,"250,000 POP AND OVER",NO,0638,1.497,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,40,SH0361,DRY,CENTER STRIPE/DIVIDER,CLEAR
16737469,12050,False,12050,2023,CORPUS CHRISTI,TURNED WHEN UNSAFE,226303,18.161,2018-10-29,0,10,0,1,C - POSSIBLE INJURY,0,0852,1,2018,MONDAY,25.88,0,OVERTURNED,TWO-WAY,08:00 - 08:59,,N/A,NON INTERSECTION,27.72868387,DAYLIGHT,YES,-97.13899339,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,NOT APPLICABLE,5,OVERTURNED,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0630,0.148,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,OFF ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,DRY,CENTER STRIPE/DIVIDER,CLEAR
16749719,10439,False,10439,2023,CORPUS CHRISTI,FAILED TO DRIVE IN SINGLE LANE; HAD BEEN DRINKING,226303,26.722,2018-11-03,0,11,0,0,N - NOT INJURED,0,2115,0,2018,SATURDAY,34.441,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,21:00 - 21:59,,N/A,NON INTERSECTION,27.62203335,"DARK, NOT LIGHTED",YES,-97.21076847,OPPOSITE DIRECTION - BOTH GOING STRAIGHT,NO MEDIAN,NOT APPLICABLE,5,NOT APPLICABLE,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0638,0.759,CITY STREET,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,15,SH0361,"SAND, MUD, DIRT",NONE,CLEAR
16746740,15893,True,15893,2023,PORT ARANSAS,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,226303,12.038,2018-11-14,0,11,1,0,B - SUSPECTED MINOR INJURY,0,0745,1,2018,WEDNESDAY,19.757,0,PEDALCYCLIST,BOULEVARD,07:00 - 07:59,,PALMILLA WAY,INTERSECTION,27.80338938,DAYLIGHT,YES,-97.08498763,ONE MOTOR VEHICLE - GOING STRAIGHT,CURBED,THREE ENTERING ROADS - T,4,NOT APPLICABLE,True,NOT APPLICABLE,"2,500 - 4,999 POP",NO,0624,0.007,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, DIVIDED",True,55,SH0361,DRY,CENTER STRIPE/DIVIDER,CLEAR
